stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3533,48902021,ANDRAMARITURRI (3533),,43.3336038977156,-2.93551600049582,2,,0,,Europe/Madrid,0,0,
3534,48053015,UNBE-MENDI (HEGOALDEA/SUR) (3534),,43.3364517458315,-2.92485450719583,3,,0,,Europe/Madrid,1,0,
3536,48053017,UNBE-MENDI (IPARRALDEA/NORTE) (3536),,43.3406713447374,-2.91977864929868,3,,0,,Europe/Madrid,1,0,
3537,48053018,IKUS BIDE (3537),,43.3414263691164,-2.91786538757936,3,,0,,Europe/Madrid,0,0,
3538,48053019,AMEZKARAI (3538),,43.3450346376039,-2.91438110026175,3,,0,,Europe/Madrid,0,0,
3539,48053011,ELIZALDE (3539),,43.352376931007,-2.907658007046,3,,0,,Europe/Madrid,1,0,
3541,48053004,ELIZALDE (3541),,43.352350026947,-2.90779378148767,3,,0,,Europe/Madrid,1,0,
3542,48053023,AMEZKARAI (3542),,43.3447110718341,-2.91518351691333,3,,0,,Europe/Madrid,0,0,
3543,48053024,IKUS BIDE (3543),,43.3414622187138,-2.91763093211468,3,,0,,Europe/Madrid,0,0,
3544,48053025,UNBE-MENDI (IPARRRALDEA/NORTE) (3544),,43.3406083561801,-2.91984041745386,3,,0,,Europe/Madrid,1,0,
3546,48053027,UNBE-MENDI (HEGOALDEA-SUR) (3546),,43.3361816416935,-2.92490418485692,3,,0,,Europe/Madrid,1,0,
3547,48902022,ANDRAMARITURRI (3547),,43.3338740344457,-2.93551571467489,2,,0,,Europe/Madrid,0,0,
3552,48902097,LA AVANZADA (ERTZAINTZA) (3552),,43.3102850264027,-2.96159648852745,2,,0,,Europe/Madrid,0,0,
3553,48902096,LA AVANZADA (ERTZAINTZA) (3553),,43.3091629606769,-2.95874510782855,2,,0,,Europe/Madrid,0,0,
3554,48013016,EL DESIERTO PLAZA (3554),,43.3018080819549,-2.98321515397598,2,,0,,Europe/Madrid,1,0,
3558,48020197,ABANDO (GELTOKIA/ESTACIÓN) (3558),,43.2601944934211,-2.92876940515839,1,,0,,Europe/Madrid,0,0,
3560,48020130,EGIRLETA (3560),,43.275338705816,-2.90281410347905,1,,0,,Europe/Madrid,1,0,
3561,48020131,EGIRLETA (3561),,43.2755819462574,-2.90294927929457,1,,0,,Europe/Madrid,1,0,
3562,48064018,AMETZA (3562),,43.3632457029703,-2.80763680617457,3,,0,,Europe/Madrid,0,0,
3563,48064016,MESTERIKA (3563),,43.362337395053,-2.80307334188006,3,,0,,Europe/Madrid,1,0,
3564,48064017,AMETZA (3564),,43.3633531332318,-2.80726621725267,3,,0,,Europe/Madrid,0,0,
3565,20056004,SATURRARAN (3565),,43.3149780269909,-2.41154217024211,5,,0,,Europe/Madrid,0,0,
3566,20056005,MIJOA INDUSTRIALDEA (3566),,43.3080122058622,-2.39675073639727,5,,0,,Europe/Madrid,0,0,
3567,20056001,MUTRIKU (3567),,43.3067963731639,-2.38826715430665,5,,0,,Europe/Madrid,0,0,
3568,20056002,MIJOA INDUSTRIALDEA (3568),,43.3081964477232,-2.39753818622169,5,,0,,Europe/Madrid,0,0,
3569,20056003,SATURRARAN (3569),,43.3152021781258,-2.4113550293152,5,,0,,Europe/Madrid,0,0,
3685,48020093,JUAN DE GARAY (TORRE URIZAR) (3685),,43.2526339706118,-2.93432201299373,1,,0,,Europe/Madrid,0,0,
3686,48020195,ZABALBURU (JUAN DE GARAY) (3686),,43.2563342603121,-2.9332214314734,1,,0,,Europe/Madrid,1,0,
3721,48096036,LIGUETI (3721),,43.2153667089367,-3.13548891485032,3,,0,,Europe/Madrid,0,0,
3722,48096025,IBARRA (LA MADALENA) (3722),,43.2044688771765,-3.1446849125354,3,,0,,Europe/Madrid,0,0,
